#SampleID,BarcodeSequence,LinkerPrimerSequence,Year,Month,SiteCode,RepNum,SiteRep,Site,Elevation,DateCode,DescName,Description
AJ414,,,2014,August,J,4,J4,SJER,400,B,AJ414,BAJ414
AP114,,,2014,August,P,1,P1,PROVIDENCE,2000,B,AP114,BAP114
AS114,,,2014,August,S,1,S1,SHORTHAIR,2700,B,AS114,BAS114
AT414,,,2014,August,T,4,T4,SOAPROOT,1100,B,AT414,BAT414
JJ114,,,2014,July,J,1,J1,SJER,400,A,JJ114,AJJ114
JJ415,,,2015,July,J,4,J4,SJER,400,A,JJ415,AJJ415
JJ515,,,2015,July,J,5,J5,SJER,400,A,JJ515,AJJ515
JP315,,,2015,July,P,3,P3,PROVIDENCE,2000,A,JP315,AJP315
JP414,,,2014,July,P,4,P4,PROVIDENCE,2000,A,JP414,AJP414
JP515,,,2015,July,P,5,P5,PROVIDENCE,2000,A,JP515,AJP515
JS115,,,2015,July,S,1,S1,SHORTHAIR,2700,A,JS115,AJS115
JS415,,,2015,July,S,4,S4,SHORTHAIR,2700,A,JS415,AJS415
JT115,,,2015,July,T,1,T1,SOAPROOT,1100,A,JT115,AJT115
JT314,,,2014,July,T,3,T3,SOAPROOT,1100,A,JT314,AJT314
JT415,,,2015,July,T,4,T4,SOAPROOT,1100,A,JT415,AJT415
OJ415,,,2015,Oct,J,4,J4,SJER,400,C,OJ415,COJ415
OJ514,,,2014,October,J,5,J5,SJER,400,C,OJ514,COJ514
OJ515,,,2015,Oct,J,5,J5,SJER,400,C,OJ515,COJ515
OJ615,,,2015,Oct,J,6,J6,SJER,400,C,OJ615,COJ615
OP315,,,2015,Oct,P,3,P3,PROVIDENCE,2000,C,OP315,COP315
OP515,,,2015,Oct,P,5,P5,PROVIDENCE,2000,C,OP515,COP515
OP614,,,2014,October,P,6,P6,PROVIDENCE,2000,C,OP614,COP614
OP615,,,2015,Oct,P,6,P6,PROVIDENCE,2000,C,OP615,COP615
OS115,,,2015,Oct,S,1,S1,SHORTHAIR,2700,C,OS115,COS115
OS214,,,2014,October,S,2,S2,SHORTHAIR,2700,C,OS214,COS214
OS415,,,2015,Oct,S,4,S4,SHORTHAIR,2700,C,OS415,COS415
OS615,,,2015,Oct,S,6,S6,SHORTHAIR,2700,C,OS615,COS615
OT115,,,2015,Oct,T,1,T1,SOAPROOT,1100,C,OT115,COT115
OT414,,,2014,October,T,4,T4,SOAPROOT,1100,C,OT414,COT414
OT415,,,2015,Oct,T,4,T4,SOAPROOT,1100,C,OT415,COT415
OT515,,,2015,Oct,T,5,T5,SOAPROOT,1100,C,OT515,COT515